"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"P. Sala",30002577,29681,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/37/98/0000503798_03.jpg",1693573200
"J. Pradilla",20211129,29511,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/91/81/0000509181_03.jpg",1693573200
"S. Jovic",30002442,29619,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/04/64/0000510464_03.jpg",1693573200
"E. Vila",20211456,28760,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/36/21/0000503621_03.jpg",1693573200
"Y. Ziv",30002717,28728,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/35/48/0000503548_03.jpg",1693573200
"D. Kramer",30002716,29573,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/00/42/0000510042_03.jpg",1693573200
"K. Cheatham",30000927,28734,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/34/68/0000503468_03.jpg",1693573200
"J. Thomasson",30001127,28730,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/34/41/0000503441_03.jpg",1693573200
"C. Felicio",30002033,29575,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/51/00/15/0000510015_03.jpg",1693573200
"H. Sant-Roos",30002036,29009,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/64/66/0000506466_03.jpg",1693573200
"D. Sleva",30002665,29013,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/64/01/0000506401_03.jpg",1693659600
"S. Birgander",20212423,29015,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/65/39/0000506539_03.jpg",1693573200
"L. Hakanson",20210498,29024,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/65/67/0000506567_03.jpg",1693573200
"D. Ennis",20212941,28999,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/66/05/0000506605_03.jpg",1693573200
"P. Tomàs",20203675,28745,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/35/19/0000503519_03.jpg",1693573200
"L. Costa",20209470,28744,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/34/89/0000503489_03.jpg",1693573200
"E. Kairys",30002715,28738,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/34/01/0000503401_03.jpg",1693573200
"T. Caupain",30002651,29003,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/65/20/0000506520_03.jpg",1693573200
"M. Diagné",20210278,29017,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/63/48/0000506348_03.jpg",1693573200
"T. McFadden",20212959,29005,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/64/46/0000506446_03.jpg",1693573200
"R. Kurucs",20211797,29128,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/79/16/0000507916_03.jpg",1693573200
"N. Radovic",20211263,29007,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/63/06/0000506306_03.jpg",1693659600
"A. Konontsuk",30002714,28740,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/33/15/0000503315_03.jpg",1693573200
"D. Iriarte",20210716,28742,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/33/65/0000503365_03.jpg",1693573200
"G. Martínez",30002727,28736,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/34/21/0000503421_03.jpg",1693573200
"D. Jelinek",20203834,29011,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/50/63/76/0000506376_03.jpg",1693573200
